event_id,event_name,student_id,club_id,attendance_status,checkin_time
EV300,Teambuilding,SV2015,CLB_AMNHAC,Absent,2024-01-03 15:13:00
EV301,Hoi Thao Dinh Huong,SV2012,CLB_THE_THAO,Absent,
EV302,Teambuilding,SV2050,CLB_KY_NANG_MEM,Present,2024-08-04 14:35:00
EV303,Ngay Hoi Clb,SV2056,CLB_AMNHAC,Present,
EV304,Teambuilding,SV2018,CLB_THE_THAO,Present,
EV305,Hoi Thao Dinh Huong,SV2065,CLB_KN_MEM,Present,
EV306,Chuoi Hoi Thao Ky Nang,SV2078,CLB_THE_THAO,Late,
EV307,Teambuilding,SV2079,CLB_AMNHAC,Absent,
EV308,Teambuilding,SV2042,CLB_KY_NANG_MEM,Present,
EV309,Hoi Thao Dinh Huong,SV2045,CLB_THE_THAO,Absent,
EV310,Ngay Hoi Clb,SV2004,CLB_TN,Absent,
EV311,Ngay Hoi Clb,SV2035,CLB_THE_THAO,Late,
EV312,Hoi Thao Dinh Huong,SV2028,CLB_AMNHAC,Absent,
EV313,Chuoi Hoi Thao Ky Nang,SV2023,CLB_THE_THAO,Late,
EV314,Hoi Thao Dinh Huong,SV2003,CLB_AMNHAC,Absent,2024-01-04 10:19:00
EV315,Teambuilding,SV2064,CLB_THE_THAO,Absent,
EV316,Teambuilding,SV2066,CLB_KY_NANG_MEM,Present,
EV317,Teambuilding,SV2042,CLB_AMNHAC,Late,2024-07-03 13:26:00
EV318,Hoi Thao Dinh Huong,SV2007,CLB_THE_THAO,,
EV319,Ngay Hoi Clb,SV2020,CLB_AM_NHAC,Absent,
EV320,Ngay Hoi Clb,SV2034,CLB_KN_MEM,Absent,
EV321,Chuoi Hoi Thao Ky Nang,SV2064,CLB_THE_THAO,Present,
EV322,Teambuilding,SV2057,CLB_TN,Absent,
EV323,Chuoi Hoi Thao Ky Nang,SV2065,CLB_THE_THAO,Late,2024-03-04 13:57:00
EV324,Teambuilding,SV2078,CLB_TN,Absent,
EV325,Hoi Thao Dinh Huong,SV2050,CLB_AM_NHAC,Present,
EV326,Chuoi Hoi Thao Ky Nang,SV2050,CLB_THE_THAO,Absent,
EV327,Chuoi Hoi Thao Ky Nang,SV2034,CLB_THE_THAO,,2024-03-03 17:30:00
EV328,Teambuilding,SV2013,CLB_AM_NHAC,Present,
EV329,Ngay Hoi Clb,SV2021,CLB_AM_NHAC,Late,
EV330,Hoi Thao Dinh Huong,SV2053,CLB_AMNHAC,Present,
EV331,Chuoi Hoi Thao Ky Nang,SV2035,CLB_KY_NANG_MEM,Late,
EV332,Chuoi Hoi Thao Ky Nang,SV2016,CLB_AMNHAC,Absent,
EV333,Ngay Hoi Clb,SV2047,CLB_TN,Present,
EV334,Ngay Hoi Clb,SV2059,CLB_KY_NANG_MEM,Present,
EV335,Ngay Hoi Clb,SV2060,CLB_AMNHAC,,
EV336,Chuoi Hoi Thao Ky Nang,SV2000,CLB_AM_NHAC,Late,2024-02-04 13:42:00
EV337,Hoi Thao Dinh Huong,SV2001,CLB_AM_NHAC,Absent,
EV338,Chuoi Hoi Thao Ky Nang,SV2075,CLB_AM_NHAC,Late,
EV339,Ngay Hoi Clb,SV2002,CLB_THE_THAO,Present,
EV340,Hoi Thao Dinh Huong,SV2021,CLB_AMNHAC,Absent,
EV341,Hoi Thao Dinh Huong,SV2022,CLB_THE_THAO,Present,
EV342,Chuoi Hoi Thao Ky Nang,SV2033,CLB_AMNHAC,Absent,
EV343,Teambuilding,SV2004,CLB_THE_THAO,Present,
EV344,Chuoi Hoi Thao Ky Nang,SV2026,CLB_AMNHAC,,2024-06-03 16:52:00
EV345,Teambuilding,SV2055,CLB_KY_NANG_MEM,Late,2024-02-03 13:40:00
EV346,Hoi Thao Dinh Huong,SV2036,CLB_THE_THAO,Absent,2024-07-04 14:06:00
EV347,Hoi Thao Dinh Huong,SV2033,CLB_THE_THAO,Late,
EV348,Ngay Hoi Clb,SV2020,CLB_AMNHAC,Late,
EV349,Ngay Hoi Clb,SV2048,CLB_TN,Late,
EV350,Hoi Thao Dinh Huong,SV2010,CLB_THE_THAO,Late,
EV351,Ngay Hoi Clb,SV2039,CLB_AMNHAC,,
EV352,Chuoi Hoi Thao Ky Nang,SV2026,CLB_TN,Present,
EV353,Hoi Thao Dinh Huong,SV2052,CLB_AMNHAC,Absent,
EV354,Hoi Thao Dinh Huong,SV2013,CLB_AM_NHAC,,
EV355,Hoi Thao Dinh Huong,SV2069,CLB_THE_THAO,Present,
EV356,Hoi Thao Dinh Huong,SV2030,CLB_THE_THAO,,
EV357,Ngay Hoi Clb,SV2033,CLB_AM_NHAC,Present,
EV358,Hoi Thao Dinh Huong,SV2021,CLB_AMNHAC,Present,2024-05-04 08:53:00
EV359,Teambuilding,SV2007,CLB_TN,Present,
EV360,Ngay Hoi Clb,SV2062,CLB_KY_NANG_MEM,Late,2024-11-03 10:40:00
EV361,Hoi Thao Dinh Huong,SV2018,CLB_TN,Late,
EV362,Hoi Thao Dinh Huong,SV2073,CLB_TN,Present,2024-06-04 16:31:00
EV363,Teambuilding,SV2057,CLB_THE_THAO,Absent,
EV364,Teambuilding,SV2016,CLB_THE_THAO,Present,2024-04-04 10:43:00
