student_id,club_id,join_count
SV2056 ,CLB_AMNHAC, 2 
sv2059,CLB Am nhac,two
 SV2010,CLB Am nhac,3
 SV2079,clb_amnhac,1
SV2050,clb ky nang mem,2
SV2040,clb ky nang mem, 2 
SV2066,clb ky nang mem,5
SV2018 ,clb_amnhac,3
SV2065,CLB_THE_THAO, 2 
SV2066,CLB_TN,2
SV2070 ,clb_tn ,5
 SV2063,clb the thao,1
 SV2023,CLB_THE_THAO,two
 SV2079,clb the thao,1
SV2055,CLB_AMNHAC,3
 SV2074,clb_tn ,1
sv2051,clb_amnhac,-1
SV2068 ,clb ky nang mem,-1
SV2070 ,CLB_THE_THAO,2
 SV2015,CLB_KN_MEM,3
SV2072,clb ky nang mem, 2 
 SV2074,clb ky nang mem,two
sv2037,CLB_THE_THAO,5
SV2072,clb_amnhac,5
SV2038 ,CLB_TN,2
SV2042,CLB_KN_MEM,two
SV2006 ,CLB_THE_THAO,3
 SV2044,CLB_TN, 2 
SV2022,clb_tn ,-1
sv2028,clb_tn ,0
SV2053,CLB_TN,3
sv2078,CLB_KN_MEM,3
 SV2015,clb the thao,3
sv2007,clb ky nang mem,two
 SV2044,CLB_THE_THAO,-1
 SV2009,clb_amnhac,5
 SV2008,CLB Am nhac, 2 
SV2030 ,CLB_AMNHAC,0
sv2005,clb the thao,two
 SV2073,clb_tn ,5
sv2005,clb the thao,0
SV2064 ,CLB_TN,1
SV2041 ,CLB_THE_THAO, 2 
SV2039,CLB_AMNHAC,5
SV2030 ,CLB_THE_THAO,0
sv2003,CLB_KN_MEM, 2 
 SV2024,CLB Am nhac,0
SV2038 ,CLB_THE_THAO,2
SV2032,CLB_THE_THAO, 2 
SV2050,CLB_THE_THAO,2
sv2058,clb_amnhac,1
SV2068 ,clb_amnhac,3
SV2045,CLB_AMNHAC,-1
 SV2061,clb_amnhac,two
 SV2061,clb_amnhac,3
 SV2011,CLB_KN_MEM,-1
SV2065,clb_amnhac,two
sv2028,CLB_AMNHAC,5
SV2064 ,CLB_TN, 2 
 SV2020,clb the thao,2
SV2029 ,CLB_THE_THAO,5
SV2066,CLB_KN_MEM,1
SV2046,CLB_AMNHAC,two
sv2037,clb_tn , 2 
SV2022,clb ky nang mem,5
SV2006 ,clb the thao,-1
sv2037,CLB_TN, 2 
SV2022,clb_tn ,2
 SV2063,CLB_AMNHAC,0
 SV2004,CLB_KN_MEM,0
 SV2034,CLB_TN,two
SV2038 ,CLB_KN_MEM,0
SV2057 ,CLB_THE_THAO,2
SV2033 ,clb_tn ,1
SV2002,clb_tn , 2 
SV2068 ,CLB_THE_THAO,-1
SV2026,clb_amnhac,-1
SV2018 ,CLB_TN,1
SV2006 ,CLB_AMNHAC,0
SV2013 ,clb_tn , 2 
SV2025 ,CLB_KN_MEM,2
SV2022,CLB_AMNHAC,2
SV2025 ,CLB_THE_THAO,2
 SV2063,CLB_AMNHAC,2
 SV2023,CLB Am nhac, 2 
SV2070 ,CLB_AMNHAC,two
SV2055,CLB_KN_MEM,-1
SV2052 ,clb_amnhac,0
 SV2009,clb_tn , 2 
SV2056 ,clb ky nang mem,0
SV2053,CLB_KN_MEM,5
SV2072,clb the thao,1
 SV2034,clb_amnhac,5
 SV2010,clb ky nang mem,1
sv2058,clb the thao,2
SV2036,CLB_KN_MEM,0
SV2071,clb_amnhac,1
SV2031 ,clb the thao,3
SV2039,CLB_TN,-1
SV2025 ,CLB_KN_MEM,1
SV2039,CLB_AMNHAC,-1
 SV2023,clb the thao,1
SV2029 ,CLB Am nhac, 2 
SV2030 ,CLB_AMNHAC,3
SV2069 ,clb ky nang mem,-1
SV2029 ,clb_amnhac,0
SV2029 ,CLB_THE_THAO,two
 SV2074,clb_tn ,two
 SV2044,clb_amnhac,3
 SV2061,clb ky nang mem,two
SV2062 ,clb_amnhac,-1
SV2043 ,CLB_KN_MEM,0
SV2049,CLB_KN_MEM,0
 SV2024,CLB_TN,5
SV2036,CLB_AMNHAC,0
SV2046,clb_amnhac,2
 SV2034,CLB_AMNHAC,5
sv2037,clb_amnhac,1
SV2000,clb_tn ,0
SV2041 ,clb_tn ,-1
SV2032,clb_amnhac,0
SV2000,CLB Am nhac,0
 SV2004,CLB_KN_MEM, 2 
sv2012,CLB_TN,0
SV2055,CLB_KN_MEM,-1
SV2019,CLB Am nhac,0
SV2030 ,CLB_THE_THAO,3
SV2042,CLB_AMNHAC,5
SV2038 ,clb_tn ,5
SV2016 ,CLB_THE_THAO,3
 SV2009,clb ky nang mem,0
SV2043 ,clb ky nang mem,3
SV2052 ,CLB_KN_MEM,3
SV2043 ,CLB Am nhac, 2 
sv2028,clb the thao,5
SV2016 ,CLB Am nhac,-1
sv2078,clb ky nang mem,5
SV2026,CLB_KN_MEM,2
SV2017,CLB_AMNHAC,-1
SV2067 ,clb the thao,0
 SV2079,CLB_KN_MEM,2
SV2045,CLB_AMNHAC,3
SV2066,clb ky nang mem,1
SV2014 ,CLB_AMNHAC,-1
SV2035 ,CLB_AMNHAC,two
sv2028,CLB_KN_MEM,1
SV2077 ,CLB_THE_THAO,5
SV2048 ,CLB Am nhac,-1
 SV2044,CLB Am nhac,5
 SV2061,clb the thao, 2 
